CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,CODIGO_DANE_MANZANA,CATEGORIA_MUNICIPIO,NIVEL_VULNERABILIDAD,TIPO_VULNERABILIDAD,IPM
11,BOGOTA,11001,BOGOTA,1100110000000011040308,ESPECIAL,Vulnerabilidad baja,1,29
11,BOGOTA,11001,BOGOTA,1100110000000011040309,ESPECIAL,Vulnerabilidad media-baja,2,26
11,BOGOTA,11001,BOGOTA,1100110000000011040310,ESPECIAL,Vulnerabilidad baja,1,23
11,BOGOTA,11001,BOGOTA,1100110000000011040311,ESPECIAL,Vulnerabilidad baja,1,59
11,BOGOTA,11001,BOGOTA,1100110000000011040312,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040313,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011040314,ESPECIAL,Vulnerabilidad baja,1,50
11,BOGOTA,11001,BOGOTA,1100110000000011040315,ESPECIAL,Vulnerabilidad media-baja,2,33
11,BOGOTA,11001,BOGOTA,1100110000000011040316,ESPECIAL,Vulnerabilidad media-baja,2,9
11,BOGOTA,11001,BOGOTA,1100110000000011040317,ESPECIAL,Vulnerabilidad media-baja,2,14
11,BOGOTA,11001,BOGOTA,1100110000000011040318,ESPECIAL,Vulnerabilidad media-baja,2,46
11,BOGOTA,11001,BOGOTA,1100110000000011040319,ESPECIAL,Vulnerabilidad baja,1,26
11,BOGOTA,11001,BOGOTA,1100110000000011040321,ESPECIAL,Vulnerabilidad baja,1,35
11,BOGOTA,11001,BOGOTA,1100110000000011040322,ESPECIAL,Vulnerabilidad baja,1,42
11,BOGOTA,11001,BOGOTA,1100110000000011040323,ESPECIAL,Vulnerabilidad baja,1,52
11,BOGOTA,11001,BOGOTA,1100110000000011040324,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040328,ESPECIAL,Vulnerabilidad baja,1,27
11,BOGOTA,11001,BOGOTA,1100110000000011040329,ESPECIAL,Vulnerabilidad baja,1,51
11,BOGOTA,11001,BOGOTA,1100110000000011040330,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040331,ESPECIAL,Vulnerabilidad baja,1,19
11,BOGOTA,11001,BOGOTA,1100110000000011040332,ESPECIAL,Vulnerabilidad baja,1,32
11,BOGOTA,11001,BOGOTA,1100110000000011040333,ESPECIAL,Vulnerabilidad media-baja,2,27
